QueryId|ResultSize|Optimizer|EstSize
0|1515324.0|Neo4j|335957.0884039693
0|1515324.0|Cascades|335957.08840396925
1|792846.0|Neo4j|1.0173915465501064
1|792846.0|Cascades|306033.3586645888
2|6804.0|Neo4j|0.0868189210175591
2|6804.0|Cascades|14570.492118216782
3|0.0|Neo4j|3.2603922702464883E-21
3|0.0|Cascades|0.13333333333333333
4|119082.0|Neo4j|9.159356762141455E-8
4|119082.0|Cascades|1.006740819619105
5|4353.0|Neo4j|4353.0
5|4353.0|Cascades|4353.0
6|88114.0|Neo4j|11730.098393241677
6|88114.0|Cascades|11730.098393241675
7|914062.0|Neo4j|19844.337485130833
7|914062.0|Cascades|1697333.8123831465
8|4257.0|Neo4j|4784.282028578136
8|4257.0|Cascades|1637.179673475755
9|0.0|Neo4j|682.6227778339038
9|0.0|Cascades|0.0
10|119082.0|Neo4j|9.160529063748505E-8
10|119082.0|Cascades|1.006740819619105
11|10.0|Neo4j|180426.3158053361
11|10.0|Cascades|21.043944945792553
12|2.0|Neo4j|305235.3511461391
12|2.0|Cascades|0.005099281366610411
13|0.0|Neo4j|516380.4358219422
13|0.0|Cascades|0.003907171125675472
14|0.0|Neo4j|1.2105409223709064E7
14|0.0|Cascades|3.037191994788001E-8
15|13864.0|Neo4j|17898.393134735572
15|13864.0|Cascades|8591.352570708486
16|56962.0|Neo4j|20157.143888201517
16|56962.0|Cascades|32107.540246706496
17|148105.0|Neo4j|4.17401572881787E-4
17|148105.0|Cascades|122871.47690425771
18|0.0|Neo4j|2.3708125204304286E-13
18|0.0|Cascades|1.0
19|56962.0|Neo4j|25324.27240479085
19|56962.0|Cascades|32107.540246706496
